neighbourhood_cleansed,room_type,count
Allerton,Entire home/apt,12
Allerton,Private room,16
Allerton,Shared room,1
Arden Heights,Entire home/apt,1
Arden Heights,Private room,3
Arrochar,Entire home/apt,10
Arrochar,Private room,7
Arverne,Entire home/apt,29
Arverne,Private room,37
Arverne,Shared room,2
Astoria,Entire home/apt,378
Astoria,Private room,538
Astoria,Shared room,24
Bath Beach,Entire home/apt,7
Bath Beach,Private room,8
Battery Park City,Entire home/apt,44
Battery Park City,Private room,18
Battery Park City,Shared room,2
Bay Ridge,Entire home/apt,52
Bay Ridge,Private room,71
Bay Ridge,Shared room,5
Bay Terrace,Entire home/apt,4
Bay Terrace,Private room,5
Bay Terrace Staten Island,Entire home/apt,1
Baychester,Entire home/apt,2
Baychester,Private room,1
Bayside,Entire home/apt,21
Bayside,Private room,38
Bayswater,Entire home/apt,1
Bayswater,Private room,9
BedfordStuyvesant,Entire home/apt,1431
BedfordStuyvesant,Private room,2047
BedfordStuyvesant,Shared room,93
Belle Harbor,Entire home/apt,1
Belle Harbor,Private room,2
Bellerose,Entire home/apt,2
Bellerose,Private room,10
Belmont,Entire home/apt,2
Belmont,Private room,8
Belmont,Shared room,2
Bensonhurst,Entire home/apt,26
Bensonhurst,Private room,30
Bensonhurst,Shared room,3
Bergen Beach,Entire home/apt,6
Bergen Beach,Private room,3
Bergen Beach,Shared room,1
Boerum Hill,Entire home/apt,122
Boerum Hill,Private room,51
Boerum Hill,Shared room,1
Borough Park,Entire home/apt,24
Borough Park,Private room,66
Borough Park,Shared room,5
Briarwood,Entire home/apt,9
Briarwood,Private room,41
Briarwood,Shared room,1
Brighton Beach,Entire home/apt,23
Brighton Beach,Private room,24
Brighton Beach,Shared room,5
Bronxdale,Entire home/apt,6
Bronxdale,Private room,10
Brooklyn Heights,Entire home/apt,130
Brooklyn Heights,Private room,40
Brownsville,Entire home/apt,21
Brownsville,Private room,45
Brownsville,Shared room,4
Bulls Head,Private room,2
Bushwick,Entire home/apt,597
Bushwick,Private room,1812
Bushwick,Shared room,80
Cambria Heights,Entire home/apt,3
Cambria Heights,Private room,11
Canarsie,Entire home/apt,54
Canarsie,Private room,61
Canarsie,Shared room,1
Carroll Gardens,Entire home/apt,185
Carroll Gardens,Private room,62
Castle Hill,Entire home/apt,1
Castle Hill,Private room,2
Castleton Corners,Entire home/apt,2
Castleton Corners,Private room,3
Chelsea,Entire home/apt,847
Chelsea,Private room,309
Chelsea,Shared room,18
Chinatown,Entire home/apt,237
Chinatown,Private room,188
Chinatown,Shared room,2
City Island,Entire home/apt,6
City Island,Private room,6
Civic Center,Entire home/apt,33
Civic Center,Private room,24
Claremont Village,Entire home/apt,1
Claremont Village,Private room,16
Clason Point,Entire home/apt,5
